               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.01944,            0.013098,           0.0067469,             0.67926,             0.63033,             0.66938,             0.39481,            0.056378,           0.0094802,            0.029531,              0.0802,              0.0022,              0.0022
                   1,            0.019534,            0.013028,           0.0048349,             0.68724,              0.6468,             0.67273,             0.41272,            0.055436,           0.0095345,            0.030218,            0.059491,           0.0044911,           0.0044911
                   2,            0.020562,            0.013478,           0.0063992,             0.72996,             0.64518,             0.70042,             0.39201,            0.052828,           0.0091172,            0.028813,            0.038773,           0.0067731,           0.0067731
                   3,            0.020699,            0.013664,             0.00608,             0.63724,             0.60088,             0.60883,             0.36331,            0.053743,           0.0095148,            0.041412,            0.018046,           0.0090459,           0.0090459
                   4,            0.021404,             0.01404,           0.0064771,             0.58125,             0.50858,             0.51556,             0.24961,            0.056404,           0.0088137,            0.046026,           0.0099208,           0.0099208,           0.0099208
                   5,            0.023171,            0.014586,           0.0064753,             0.59679,             0.47936,             0.55764,             0.34847,            0.049311,            0.010228,            0.052691,           0.0099208,           0.0099208,           0.0099208
                   6,            0.022767,            0.014662,           0.0066358,             0.58848,             0.52829,             0.51228,              0.2893,            0.052578,            0.011362,            0.042947,            0.009901,            0.009901,            0.009901
                   7,             0.02286,            0.015059,           0.0074485,              0.6026,             0.43924,             0.49177,             0.28481,            0.057305,            0.011908,            0.029919,           0.0098812,           0.0098812,           0.0098812
                   8,            0.023151,            0.014954,           0.0065466,             0.74955,             0.48794,             0.58763,              0.3197,            0.051657,            0.011394,            0.038674,           0.0098614,           0.0098614,           0.0098614
                   9,             0.02235,            0.015086,           0.0065781,             0.68393,             0.57102,             0.55681,             0.33885,             0.05321,            0.011015,            0.032842,           0.0098416,           0.0098416,           0.0098416
                  10,            0.022464,            0.014509,           0.0062238,             0.81904,             0.60645,             0.62098,             0.32825,            0.052864,           0.0093513,            0.054611,           0.0098218,           0.0098218,           0.0098218
                  11,            0.022508,            0.015065,           0.0054079,             0.62758,             0.46563,             0.50663,             0.24968,            0.062808,            0.011732,            0.043937,            0.009802,            0.009802,            0.009802
                  12,            0.021612,            0.014136,           0.0053017,             0.61786,              0.5821,             0.59592,             0.33178,            0.054203,            0.010141,             0.04539,           0.0097822,           0.0097822,           0.0097822
                  13,            0.021638,            0.013982,            0.005266,             0.77913,             0.59845,             0.60986,             0.34388,            0.052856,            0.011806,            0.035758,           0.0097624,           0.0097624,           0.0097624
                  14,            0.021963,            0.013953,           0.0050876,             0.72646,              0.5436,             0.62107,             0.36806,            0.050034,            0.010588,            0.044334,           0.0097426,           0.0097426,           0.0097426
                  15,            0.021638,            0.014237,           0.0058192,             0.69734,             0.62591,             0.61565,             0.36363,            0.049154,           0.0093697,             0.04314,           0.0097228,           0.0097228,           0.0097228
                  16,            0.021457,            0.014248,           0.0050435,             0.71316,             0.58343,             0.65747,             0.36905,            0.049372,            0.010509,            0.037189,            0.009703,            0.009703,            0.009703
                  17,            0.021529,            0.014208,           0.0052279,             0.77125,             0.60555,             0.66471,             0.39309,            0.052333,            0.010049,            0.045749,           0.0096832,           0.0096832,           0.0096832
                  18,            0.021515,            0.013977,           0.0046337,             0.69827,             0.59276,             0.61421,             0.34191,            0.053102,           0.0096306,            0.055067,           0.0096634,           0.0096634,           0.0096634
