               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026838,            0.021211,             0.01531,              0.6443,             0.64648,              0.6355,             0.41906,            0.037696,           0.0049843,             0.02709,            0.070667,           0.0032593,           0.0032593
                   1,            0.023869,            0.017212,            0.010761,             0.76549,             0.58368,             0.66962,             0.43624,            0.036729,           0.0048038,             0.03489,            0.040536,           0.0064621,           0.0064621
                   2,            0.023203,            0.016215,           0.0086178,             0.75749,             0.57698,              0.6338,             0.38365,            0.038717,           0.0049978,            0.041303,            0.010274,           0.0095329,           0.0095329
                   3,             0.02317,            0.016772,           0.0094137,             0.75628,             0.58484,             0.60389,              0.3246,            0.040291,           0.0055071,            0.045096,            0.009406,            0.009406,            0.009406
                   4,            0.023327,             0.01645,           0.0092825,             0.84148,             0.52117,             0.58791,             0.34437,            0.040946,           0.0060071,            0.028694,            0.009406,            0.009406,            0.009406
                   5,            0.024029,            0.016233,           0.0087686,             0.80817,             0.58572,             0.60408,             0.35176,            0.039889,           0.0053827,            0.026479,            0.009208,            0.009208,            0.009208
                   6,            0.022768,            0.016167,           0.0082565,             0.61917,             0.65159,             0.60766,             0.34824,            0.040106,           0.0058704,            0.026729,             0.00901,             0.00901,             0.00901
                   7,            0.022089,            0.016613,           0.0082783,             0.62983,             0.68502,             0.64611,             0.38925,            0.039433,           0.0052252,            0.044576,            0.008812,            0.008812,            0.008812
                   8,            0.021999,            0.015726,           0.0073198,             0.72509,             0.58969,             0.63093,             0.38976,            0.041663,           0.0054335,            0.045256,            0.008614,            0.008614,            0.008614
                   9,            0.021777,            0.015574,           0.0068272,             0.71653,             0.59213,             0.60083,             0.38028,            0.037781,           0.0053802,            0.048174,            0.008416,            0.008416,            0.008416
                  10,            0.021178,            0.015378,           0.0064541,             0.68865,             0.59076,             0.64352,              0.4081,            0.036194,           0.0050278,            0.038271,            0.008218,            0.008218,            0.008218
                  11,            0.020978,            0.014788,           0.0071236,             0.71534,             0.60714,             0.61831,             0.40964,            0.036823,           0.0049558,            0.046556,             0.00802,             0.00802,             0.00802
                  12,            0.020873,            0.014539,            0.006906,             0.56569,             0.43134,             0.48925,             0.29238,            0.040363,            0.006059,            0.050662,            0.007822,            0.007822,            0.007822
                  13,            0.020651,            0.015018,           0.0060223,             0.78495,             0.56373,             0.63774,             0.40977,            0.037895,           0.0050678,            0.051851,            0.007624,            0.007624,            0.007624
                  14,            0.019837,            0.014098,           0.0054572,             0.70139,              0.6564,             0.66679,             0.39603,            0.041697,           0.0052558,            0.049979,            0.007426,            0.007426,            0.007426
                  15,            0.019772,             0.01403,            0.005028,             0.70382,             0.60176,             0.60897,             0.38728,            0.037028,           0.0054399,            0.047253,            0.007228,            0.007228,            0.007228
                  16,            0.019781,            0.013821,           0.0054447,             0.65609,              0.5716,             0.59666,             0.40386,            0.037705,           0.0054393,            0.039278,             0.00703,             0.00703,             0.00703
                  17,            0.019607,             0.01413,           0.0054321,             0.72001,             0.59644,             0.64183,             0.43075,            0.036905,           0.0056404,            0.044104,            0.006832,            0.006832,            0.006832
                  18,            0.019206,              0.0138,           0.0056093,             0.74426,             0.62827,              0.6449,             0.41849,            0.035978,           0.0052219,            0.036454,            0.006634,            0.006634,            0.006634
                  19,            0.018979,            0.013859,           0.0051055,             0.80311,             0.55309,             0.64062,             0.42118,            0.037756,           0.0051351,            0.043752,            0.006436,            0.006436,            0.006436
                  20,            0.018856,            0.013579,           0.0052251,             0.79127,               0.548,             0.62657,             0.40787,            0.037631,            0.005349,            0.042747,            0.006238,            0.006238,            0.006238
                  21,            0.018248,            0.013781,           0.0050141,             0.74084,             0.55309,             0.60763,             0.40455,            0.035661,           0.0054911,            0.048703,             0.00604,             0.00604,             0.00604
                  22,             0.01818,            0.013285,           0.0054243,             0.67193,             0.59782,             0.60532,             0.38897,            0.035481,           0.0054522,            0.039586,            0.005842,            0.005842,            0.005842
                  23,            0.018147,            0.012908,           0.0047481,             0.77601,             0.60651,             0.64026,             0.40858,            0.036456,           0.0052195,            0.028238,            0.005644,            0.005644,            0.005644
                  24,             0.01817,            0.013377,           0.0048674,             0.80191,             0.58674,             0.64004,             0.42484,            0.036688,           0.0049017,            0.033498,            0.005446,            0.005446,            0.005446
                  25,            0.017171,             0.01281,           0.0041483,             0.75096,             0.57307,             0.60975,              0.3725,            0.036062,           0.0054793,            0.048259,            0.005248,            0.005248,            0.005248
                  26,            0.017805,            0.012672,           0.0045295,             0.81936,             0.59295,             0.64036,             0.40705,            0.036848,           0.0057064,            0.031676,             0.00505,             0.00505,             0.00505
